vehicle_id,speed,travel_time,waiting_time,distance
diag.403,6.9886,112.0000,0.0000,782.7200
anti.426,7.2474,108.0000,0.0000,782.7200
diag.404,6.9886,112.0000,0.0000,782.7200
anti.427,7.2474,108.0000,0.0000,782.7200
diag.405,6.9267,113.0000,0.0000,782.7200
anti.428,7.1809,109.0000,0.0000,782.7200
diag.406,7.1156,110.0000,0.0000,782.7200
anti.429,7.2474,108.0000,0.0000,782.7200
anti.430,7.4545,105.0000,0.0000,782.7200
anti.431,7.5262,104.0000,0.0000,782.7200
diag.407,6.9267,113.0000,0.0000,782.7200
diag.408,6.9267,113.0000,0.0000,782.7200
anti.432,7.3151,107.0000,0.0000,782.7200
anti.433,7.4545,105.0000,0.0000,782.7200
diag.409,6.9886,112.0000,0.0000,782.7200
anti.434,7.4545,105.0000,0.0000,782.7200
diag.410,6.9267,113.0000,0.0000,782.7200
anti.435,7.3842,106.0000,0.0000,782.7200
diag.411,6.9886,112.0000,0.0000,782.7200
anti.436,7.4545,105.0000,0.0000,782.7200
anti.437,7.5262,104.0000,0.0000,782.7200
diag.412,6.8660,114.0000,0.0000,782.7200
anti.438,7.5262,104.0000,0.0000,782.7200
diag.413,6.9267,113.0000,0.0000,782.7200
anti.439,7.5262,104.0000,0.0000,782.7200
diag.414,6.8660,114.0000,0.0000,782.7200
anti.440,7.5262,104.0000,0.0000,782.7200
diag.415,6.8660,114.0000,0.0000,782.7200
anti.441,7.5992,103.0000,0.0000,782.7200
diag.416,7.1156,110.0000,0.0000,782.7200
diag.417,7.0515,111.0000,0.0000,782.7200
anti.442,7.5262,104.0000,0.0000,782.7200
diag.418,7.1809,109.0000,0.0000,782.7200
anti.443,7.5992,103.0000,0.0000,782.7200
anti.444,7.5992,103.0000,0.0000,782.7200
diag.419,6.9886,112.0000,0.0000,782.7200
anti.445,7.5992,103.0000,0.0000,782.7200
diag.420,6.9886,112.0000,0.0000,782.7200
anti.446,7.5262,104.0000,0.0000,782.7200
diag.421,7.1156,110.0000,0.0000,782.7200
diag.422,7.0515,111.0000,0.0000,782.7200
anti.447,7.3842,106.0000,0.0000,782.7200
diag.423,6.9886,112.0000,0.0000,782.7200
anti.448,7.5992,103.0000,0.0000,782.7200
diag.424,6.9886,112.0000,0.0000,782.7200
anti.449,7.4545,105.0000,0.0000,782.7200
anti.450,7.5992,103.0000,0.0000,782.7200
cross.16,0.3127,1217.0000,1050.0000,380.5000
anti.451,7.4545,105.0000,0.0000,782.7200
anti.452,7.5262,104.0000,0.0000,782.7200
anti.453,7.4545,105.0000,0.0000,782.7200
anti.454,7.6737,102.0000,0.0000,782.7200
diag.425,6.3123,124.0000,0.0000,782.7200
anti.455,7.5992,103.0000,0.0000,782.7200
diag.426,6.3123,124.0000,0.0000,782.7200
diag.427,6.3636,123.0000,0.0000,782.7200
anti.456,7.5262,104.0000,0.0000,782.7200
diag.428,6.6899,117.0000,0.0000,782.7200
anti.457,7.5262,104.0000,0.0000,782.7200
diag.429,6.6332,118.0000,0.0000,782.7200
diag.430,6.5775,119.0000,0.0000,782.7200
anti.458,7.5262,104.0000,0.0000,782.7200
diag.431,6.6332,118.0000,0.0000,782.7200
anti.459,7.5992,103.0000,0.0000,782.7200
diag.432,6.5775,119.0000,0.0000,782.7200
anti.460,7.5992,103.0000,0.0000,782.7200
anti.461,7.5262,104.0000,0.0000,782.7200
diag.433,6.6899,117.0000,0.0000,782.7200
anti.462,7.5262,104.0000,0.0000,782.7200
diag.434,6.6332,118.0000,0.0000,782.7200
